Title,Price,PID,Details
"Serviced 4 Bedroom Terrace Duplex 
Osapa London Lekki Lagos
 Serviced 4 Bedroom Terrace Duplex / House FOR Rent","₦ 8,500,000/year",Osapa London Lekki Lagos,Serviced 4 Bedroom Terrace Duplex / House FOR Rent
"Beautiful 5 Bedroom Semi Detached Duplex 
Lekki Phase 1 Lekki Lagos
 Beautiful 5 Bedroom Semi Detached Duplex / House FOR Rent","₦ 25,000,000/year",Lekki Phase 1 Lekki Lagos,Beautiful 5 Bedroom Semi Detached Duplex / House FOR Rent
"Office Space 
Bus Terminal Oshodi Expressway Oshodi Lagos
 Office Space / Commercial Property FOR Rent","₦ 60,000/sqm",Bus Terminal Oshodi Expressway Oshodi Lagos,Office Space / Commercial Property FOR Rent
"2 Bedrom Flat 
Ketu Kosofe Ikosi Lagos
 2 Bedrom Flat / House FOR Rent","₦ 1,800,000/year",Ketu Kosofe Ikosi Lagos,2 Bedrom Flat / House FOR Rent
"3 Units 3 Bedroom Flats 
Ikota Villa Estate Lekki Lagos
 3 Units 3 Bedroom Flats / House FOR Rent","₦ 2,000,000/year",Ikota Villa Estate Lekki Lagos,3 Units 3 Bedroom Flats / House FOR Rent
"4 Bedroom Semi Detached Townhouse With Bq 
Ikate Lekki Lagos
 4 Bedroom Semi Detached Townhouse With Bq / House FOR Rent","₦ 11,000,000/year",Ikate Lekki Lagos,4 Bedroom Semi Detached Townhouse With Bq / House FOR Rent
"Self Serviced 4 Bedroom Massionette 
Oniru Victoria Island Lagos
 Self Serviced 4 Bedroom Massionette / House FOR Rent","₦ 15,000,000/year",Oniru Victoria Island Lagos,Self Serviced 4 Bedroom Massionette / House FOR Rent
"Mini Flat 
Ipaja Road Ipaja Lagos
 Mini Flat / Flat Apartment FOR Rent","₦ 650,000/year",Ipaja Road Ipaja Lagos,Mini Flat / Flat Apartment FOR Rent
"Newly Built Mini Flat 
Ago Palace Okota Lagos
 Newly Built Mini Flat / Flat Apartment FOR Rent","₦ 1,000,000/year",Ago Palace Okota Lagos,Newly Built Mini Flat / Flat Apartment FOR Rent
"Serviced 2 Bedroom Apartment 
Ikate Lekki Lagos
 Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent","₦ 4,500,000/year",Ikate Lekki Lagos,Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent
"2 Bedroom Flat 
Shomolu Lagos
 2 Bedroom Flat / House FOR Rent","₦ 1,500,000/year",Shomolu Lagos,2 Bedroom Flat / House FOR Rent
"Serviced 2 Bedroom Apartment 
Off Nicon Town Salem Ikate Lekki Lagos
 Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent","₦ 5,000,000/year",Off Nicon Town Salem Ikate Lekki Lagos,Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent
"Serviced 3 Bedroom Apartment 
Oniru Victoria Island Lagos
 Serviced 3 Bedroom Apartment / House FOR Rent","₦ 10,000,000/year",Oniru Victoria Island Lagos,Serviced 3 Bedroom Apartment / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Ikate Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 11,500,000/year",Ikate Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced 500sqm Roof Top Lounge / Restaurant 
Lekki Phase 1 Lekki Lagos
 Serviced 500sqm Roof Top Lounge / Restaurant / Commercial Property FOR Rent","₦ 60,000/sqm",Lekki Phase 1 Lekki Lagos,Serviced 500sqm Roof Top Lounge / Restaurant / Commercial Property FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Ikota Lekki Phase 2 Lekki Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 6,000,000/year",Ikota Lekki Phase 2 Lekki Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"Furnished Two Bedrooms With A Bq 
Parkview Parkview Estate Ikoyi Lagos
 Furnished Two Bedrooms With A Bq / House FOR Rent","₦ 13,000,000/year",Parkview Parkview Estate Ikoyi Lagos,Furnished Two Bedrooms With A Bq / House FOR Rent
"Newly Built 2 Bedroom Apartment 
Nike Art Gallery Ikate Lekki Lagos
 Newly Built 2 Bedroom Apartment / House FOR Rent","₦ 6,500,000/year",Nike Art Gallery Ikate Lekki Lagos,Newly Built 2 Bedroom Apartment / House FOR Rent
"4 Bedrooms Duplex 
Osapa London Lekki Lagos
 4 Bedrooms Duplex / House FOR Rent","₦ 9,000,000/year",Osapa London Lekki Lagos,4 Bedrooms Duplex / House FOR Rent
"Self Serviced 2 Bedrooms Apartment 
Agungi Lekki Lagos
 Self Serviced 2 Bedrooms Apartment / Flat Apartment FOR Rent","₦ 3,800,000/year",Agungi Lekki Lagos,Self Serviced 2 Bedrooms Apartment / Flat Apartment FOR Rent
"Furnished And Serviced 3 Bedroom Apartment With Bq. 
Lekki Phase 1 Lekki Lagos Lekki Lagos
 Furnished And Serviced 3 Bedroom Apartment With Bq. / Flat Apartment FOR Rent","₦ 11,000,000/year",Lekki Phase 1 Lekki Lagos Lekki Lagos,Furnished And Serviced 3 Bedroom Apartment With Bq. / Flat Apartment FOR Rent
"Serviced 3 Bedroom Flat 
Lekki Phase 1 Lekki Lagos
 Serviced 3 Bedroom Flat / Commercial Property FOR Rent","₦ 7,000,000/year",Lekki Phase 1 Lekki Lagos,Serviced 3 Bedroom Flat / Commercial Property FOR Rent
"Newly Built Serviced 2 Bedroom Apartment 
Ikate Lekki Lagos
 Newly Built Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent","₦ 8,000,000/year",Ikate Lekki Lagos,Newly Built Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent
"4 Bedroom Fully Detached Duplex 
Osapa London Lekki Lagos
 4 Bedroom Fully Detached Duplex / House FOR Rent","₦ 9,000,000/year",Osapa London Lekki Lagos,4 Bedroom Fully Detached Duplex / House FOR Rent
"Newly Built 2 Bedroom Apartment 
Off Admiralty Way Lekki Phase One Lekki Phase 1 Lekki Lagos
 Newly Built 2 Bedroom Apartment / House FOR Rent","₦ 12,000,000/year",Off Admiralty Way Lekki Phase One Lekki Phase 1 Lekki Lagos,Newly Built 2 Bedroom Apartment / House FOR Rent
"5 Bedroom Fully Detached Duplex With Bq 
Off Admiralty Rd Lekki Phase 1 Lekki Lagos
 5 Bedroom Fully Detached Duplex With Bq / House FOR Rent","₦ 15,000,000/year",Off Admiralty Rd Lekki Phase 1 Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 13,000,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Serviced 5 Bed Terraced Duplex With Bq 
Ikate Lekki Lagos
 Serviced 5 Bed Terraced Duplex With Bq / House FOR Rent","₦ 8,000,000/year",Ikate Lekki Lagos,Serviced 5 Bed Terraced Duplex With Bq / House FOR Rent
"Luxury Serviced 2 Bedroom Apartment 
Osapa London Lekki Lagos
 Luxury Serviced 2 Bedroom Apartment / House FOR Rent","₦ 7,000,000/year",Osapa London Lekki Lagos,Luxury Serviced 2 Bedroom Apartment / House FOR Rent
"Self Serviced 4 Bedroom Semi Detached Duplex 
Oniru Victoria Island Lagos
 Self Serviced 4 Bedroom Semi Detached Duplex / House FOR Rent","₦ 17,000,000/year",Oniru Victoria Island Lagos,Self Serviced 4 Bedroom Semi Detached Duplex / House FOR Rent
"Luxury 4 Bedroom Penthouse+bq+pool+tennis+gym 
Old Ikoyi Ikoyi Lagos
 Luxury 4 Bedroom Penthouse+bq+pool+tennis+gym / Flat / Apartment FOR RENT","₦ 60,000,000/year",Old Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Penthouse+bq+pool+tennis+gym / Flat / Apartment FOR RENT
"Serviced 4 Bedroom Massionette 
Ologolo Lekki Lagos
 Serviced 4 Bedroom Massionette / House FOR Rent","₦ 7,000,000/year",Ologolo Lekki Lagos,Serviced 4 Bedroom Massionette / House FOR Rent
"Serviced 600sqm Office Space 
Lekki Phase 1 Lekki Lagos
 Serviced 600sqm Office Space / Commercial Property FOR Rent","₦ 140,000/sqm",Lekki Phase 1 Lekki Lagos,Serviced 600sqm Office Space / Commercial Property FOR Rent
